Group,Detector,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35,Value_36,Value_37,Value_38,Value_39,Value_40,Value_41,Value_42,Value_43,Value_44,Value_45,Value_46,Value_47,Value_48,Value_49,Value_50,Value_51,Value_52,Value_53,Value_54,Value_55,Value_56,Value_57,Value_58,Value_59,Value_60,Value_61,Value_62,Value_63,Value_64,Value_65,Value_66,Value_67,Value_68,Value_69,Value_70,Value_71,Value_72,Value_73,Value_74,Value_75,Value_76,Value_77,Value_78,Value_79,Value_80
group_0,ET_1,625.1623565283652,5505.886555418517,495517.5628197137,1593.7249736879708,-630.3203366008771,-658566.3362635383,-391.10195152010226,-576851.2766343312,-325.8926327841224,5505.886555418517,125797.2912109208,11420314.71828445,204.69672088831646,1391.2037877127004,-39926445.58632727,-8737.217406781063,-38076704.95211058,-8835.948402372449,495517.5628197137,11420314.71828445,1036986962.8695822,639.8366491229052,134072.91960633456,-3584633997.809868,-792854.8579188362,-3415443962.624547,-802623.3349456574,1593.7249736879708,204.69672088831646,639.8366491229052,6628.2859623191725,-2848.148288429626,-7402.540132276594,-288.88962535323117,-7986.858725702921,0.04277739232685884,-630.3203366008771,1391.2037877127004,134072.91960633456,-2848.148288429626,1259.0174455201038,-2478826.813980315,-83.40204920185057,-2460849.2572382893,-209.5438052824455,-658566.3362635383,-39926445.58632727,-3584633997.809868,-7402.540132276594,-2478826.813980315,376758877308.5871,14734577.898342825,380754070401.3058,14771025.138232242,-391.10195152010226,-8737.217406781063,-792854.8579188362,-288.88962535323117,-83.40204920185057,14734577.898342825,1239.4481534931656,14631573.670665942,1238.540265911347,-576851.2766343312,-38076704.95211058,-3415443962.624547,-7986.858725702921,-2460849.2572382893,380754070401.3058,14631573.670665942,384905084755.2933,14664086.261928352,-325.8926327841224,-8835.948402372449,-802623.3349456574,0.04277739232685884,-209.5438052824455,14771025.138232242,1238.540265911347,14664086.261928352,1250.409626138848
group_0,ET_2,704.8891037718846,3832.1091450676795,416671.7163743665,-1700.1006419311436,-910.5105317232,-389619.5370134621,439.4384296311525,-320425.2313673105,-265.5412253129017,3832.1091450676795,109653.0578582111,9846207.775967713,2567.7672971981906,2917.6995693521144,-34702969.962273724,9829.331383332665,-33111846.3065145,-7627.635270129168,416671.7163743665,9846207.775967713,893588681.1065993,583.3012039786976,133330.58287769769,-3108047586.104724,904640.6334835272,-2962545473.8770537,-692224.7247113665,-1700.1006419311436,2567.7672971981906,583.3012039786976,5731.303566322857,3241.373208337648,-6700.794382758014,-310.43216229094566,-7211.978704841138,0.06403994712012136,-910.5105317232,2917.6995693521144,133330.58287769769,3241.373208337648,1873.0544338746186,-2461069.7743879333,94.85383359876607,-2443813.455376842,-207.39018067614242,-389619.5370134621,-34702969.962273724,-3108047586.104724,-6700.794382758014,-2461069.7743879333,329279258214.12024,-16655584.430581803,332798783276.92676,12856707.268406946,439.4384296311525,9829.331383332665,904640.6334835272,-310.43216229094566,94.85383359876607,-16655584.430581803,1854.5051554005918,-16535151.029266242,-1409.5432757607643,-320425.2313673105,-33111846.3065145,-2962545473.8770537,-7211.978704841138,-2443813.455376842,332798783276.92676,-16535151.029266242,336453910632.4064,12766607.581274133,-265.5412253129017,-7627.635270129168,-692224.7247113665,0.06403994712012136,-207.39018067614242,12856707.268406946,-1409.5432757607643,12766607.581274133,1081.1892468691008
group_0,ET_3,1710.9748249659704,-2015.7427259110598,-65343.11245941218,241.87222923222004,-3232.8282086396816,1297176.4090775293,-68.96036319386707,1288689.500216329,106.67523036078933,-2015.7427259110598,3539.9363567828104,177150.42417423578,-171.56784018861822,3912.886603285291,-1449582.2921802723,-1496.5219075778157,-1422781.9920185357,-180.13075739472146,-65343.11245941218,177150.42417423578,11123941.284049628,3.6551273064613286,132416.74804227223,-37069182.58406449,-126772.61210937552,-35235941.30149205,-8559.249925963326,241.87222923222004,-171.56784018861822,3.6551273064613286,69.64893141448532,-446.67358038790337,-51.80766401397213,-474.03123323660026,-57.46875012724577,-0.0022049807636363213,-3232.8282086396816,3912.886603285291,132416.74804227223,-446.67358038790337,6117.640853388712,-2446237.775031065,-13.196257451505785,-2428729.131221201,-206.5035998452801,1297176.4090775293,-1449582.2921802723,-37069182.58406449,-51.80766401397213,-2446237.775031065,3713381380.7702703,2197796.0206508245,3750812469.645493,149282.62390516285,-68.96036319386707,-1496.5219075778157,-126772.61210937552,-474.03123323660026,-13.196257451505785,2197796.0206508245,6104.593990755646,2178503.3245535167,194.2485527973377,1288689.500216329,-1422781.9920185357,-35235941.30149205,-57.46875012724577,-2428729.131221201,3750812469.645493,2178503.3245535167,3789820110.165667,147993.29286557273,106.67523036078933,-180.13075739472146,-8559.249925963326,-0.0022049807636363213,-206.5035998452801,149282.62390516285,194.2485527973377,147993.29286557273,13.137637820575808
group_1,ET_1,6065.8129772491175,1114.314307223723,-640100.9894380742,-104.7901591144607,-3247.427324766774,4292851.122197926,-1527.8392513646104,4177879.5151906563,639.5702771214909,1114.314307223723,3603.4330724688803,-191300.33990777007,889.112112117175,1517.1577955647253,-4613403.884290826,-1529.3986834670663,-4666456.661127277,-101.44715398248904,-640100.9894380742,-191300.33990777007,69411965.84780599,-51.60255547134668,296353.8969140826,-286205858.26242465,164987.3381792692,-273097156.77756166,-60603.12401955395,-104.7901591144607,889.112112117175,-51.60255547134668,524.1319847643433,605.0660156422446,-626.4018735970155,-1065.9800254110091,-672.1663706808703,0.02320770351142073,-3247.427324766774,1517.1577955647253,296353.8969140826,605.0660156422446,3054.0343386269765,-5750271.160746787,84.67793111059811,-5709130.337404527,-482.5429028294673,4292851.122197926,-4613403.884290826,-286205858.26242465,-626.4018735970155,-5750271.160746787,30309741961.48886,-3240873.722567503,30633311784.32067,1184141.7444489396,-1527.8392513646104,-1529.3986834670663,164987.3381792692,-1065.9800254110091,84.67793111059811,-3240873.722567503,2902.5170225942866,-3218667.50870433,-269.5101641900574,4177879.5151906563,-4666456.661127277,-273097156.77756166,-672.1663706808703,-5709130.337404527,30633311784.32067,-3218667.50870433,30969365443.820293,1175876.5370545853,639.5702771214909,-101.44715398248904,-60603.12401955395,0.02320770351142073,-482.5429028294673,1184141.7444489396,-269.5101641900574,1175876.5370545853,98.86600415857643
group_1,ET_2,37744.99108912518,35113.41596758988,-4810438.8095579045,191.9791874957515,-2832.390163015165,21330619.549016003,-2713.108955161805,20431038.70952007,4264.749749792458,35113.41596758988,33824.4142520804,-4471819.026914525,2181.0584969082984,-1869.2024796000069,12957066.362541694,-2630.820820586393,12099781.55414328,3622.1436441913884,-4810438.8095579045,-4471819.026914525,613431985.0692909,892.3265832586559,361719.03848896304,-2516145021.499548,336124.2033473711,-2400351017.274578,-534640.3999486497,191.9791874957515,2181.0584969082984,892.3265832586559,4615.534812630498,1227.3353374878172,-2244.882858992349,-744.6532988597683,-2539.6175615099155,-0.0930935976287955,-2832.390163015165,-1869.2024796000069,361719.03848896304,1227.3353374878172,724.1031998596609,-7019533.135980191,171.35935016477396,-6969601.873572664,-588.5133757131335,21330619.549016003,12957066.362541694,-2516145021.499548,-2244.882858992349,-7019533.135980191,265614221976.1582,-6490350.406108844,268439527460.9876,10396256.658597412,-2713.108955161805,-2630.820820586393,336124.2033473711,-744.6532988597683,171.35935016477396,-6490350.406108844,463.1918304494152,-6443076.102949818,-546.5206889778462,20431038.70952007,12099781.55414328,-2400351017.274578,-2539.6175615099155,-6969601.873572664,268439527460.9876,-6443076.102949818,271374454526.74323,10322564.058305457,4264.749749792458,3622.1436441913884,-534640.3999486497,-0.0930935976287955,-588.5133757131335,10396256.658597412,-546.5206889778462,10322564.058305457,870.7459094499998
group_1,ET_3,26805.041693238752,22816.825972063492,-3369737.734494117,1079.0231359453035,-3257.0938446981295,14924695.862266138,3576.649589191174,14293238.219118305,2989.0561036344156,22816.825972063492,22101.55958517423,-2991300.2006295975,-1763.5729882359017,-1093.8685332791154,6294939.5367367165,3429.635019060128,5713067.848906046,2307.2049960544114,-3369737.734494117,-2991300.2006295975,429634029.2950239,932.7662733037744,333659.2397345206,-1757824148.2271693,-483246.5992127956,-1676563773.1770191,-374526.2648633574,1079.0231359453035,-1763.5729882359017,932.7662733037744,3230.0226911718255,-1766.1823822896172,-908.3302696122471,-833.3129309497756,-1093.6091755797088,-0.13169087420003608,-3257.0938446981295,-1093.8685332791154,333659.2397345206,-1766.1823822896172,1451.4080598984315,-6481626.597621243,-246.5167690894648,-6435124.066339707,-543.9020499898477,14924695.862266138,6294939.5367367165,-1757824148.2271693,-908.3302696122471,-6481626.597621243,184803206499.31903,9379947.804273432,186760452029.54922,7249325.2992345095,3576.649589191174,3429.635019060128,-483246.5992127956,-833.3129309497756,-246.5167690894648,9379947.804273432,1230.2310169001787,9313118.515195321,786.5377637293024,14293238.219118305,5713067.848906046,-1676563773.1770191,-1093.6091755797088,-6435124.066339707,186760452029.54922,9313118.515195321,188794144775.4431,7197033.655975506,2989.0561036344156,2307.2049960544114,-374526.2648633574,-0.13169087420003608,-543.9020499898477,7249325.2992345095,786.5377637293024,7197033.655975506,609.3044181703443
group_2,ET_1,25568.368314888085,-29253.42654536309,-4795726.099229895,-526.9743087569319,9491.548581599327,14915182.24949557,2896.83611967228,14132578.049911235,3616.127103725435,-29253.42654536309,61734.048834208224,5528198.306018466,5188.6463916806515,-22012.656834031128,-87729231.09510809,-2548.2344960169617,-86982358.84546578,-7844.508931965344,-4795726.099229895,5528198.306018466,901903920.4033802,-672.3948726646602,-1796094.3410709305,-3127333002.854259,-653666.4900529352,-2980480534.100528,-697983.5436837465,-526.9743087569319,5188.6463916806515,-672.3948726646602,5773.220467408973,-2027.7683219843939,-8512.186155950412,5329.96890114431,-9058.618809747979,0.10783886780010991,9491.548581599327,-22012.656834031128,-1796094.3410709305,-2027.7683219843939,7924.751467683286,33256336.895903006,749.395187771253,33020855.526657537,2802.2628516374816,14915182.24949557,-87729231.09510809,-3127333002.854259,-8512.186155950412,33256336.895903006,330338333896.4392,12071439.871541483,333858887487.80554,12917506.722215263,2896.83611967228,-2548.2344960169617,-653666.4900529352,5329.96890114431,749.395187771253,12071439.871541483,5873.556584360436,11985080.596772112,1018.6289283627898,14132578.049911235,-86982358.84546578,-2980480534.100528,-9058.618809747979,33020855.526657537,333858887487.80554,11985080.596772112,337515697601.24207,12825868.92740491,3616.127103725435,-7844.508931965344,-697983.5436837465,0.10783886780010991,2802.2628516374816,12917506.722215263,1018.6289283627898,12825868.92740491,1088.7852204623816
group_2,ET_2,51499.57914802793,-34792.92599109215,-9560502.722118178,-1133.095479642082,9636.93354608165,31391673.780856013,1001.7032539492868,29836639.72611506,7296.358167694752,-34792.92599109215,35847.10361190038,6504982.853026639,2003.8572372986737,-11404.206138446938,-91133554.07121968,-988.7998166910287,-90229052.6493,-8599.791834527647,-9560502.722118178,6504982.853026639,1779962616.24455,-1304.666862451812,-1805784.0570513364,-6175464671.169134,-251365.8880124713,-5885497156.800707,-1378360.5757846995,-1133.095479642082,2003.8572372986737,-1304.666862451812,11398.776981289358,-779.6036148136075,-12580.92772582989,3288.482088389801,-13596.333369292783,0.29524397611058406,9636.93354608165,-11404.206138446938,-1805784.0570513364,-779.6036148136075,3744.3341090836793,33421623.9372687,288.4522567020365,33184669.037113123,2817.2096355779836,31391673.780856013,-91133554.07121968,-6175464671.169134,-12580.92772582989,33421623.9372687,652348221456.1057,4653206.717385115,659300889100.6609,25508909.63184119,1001.7032539492868,-988.7998166910287,-251365.8880124713,3288.482088389801,288.4522567020365,4653206.717385115,1020.1095868608961,4620185.663721309,391.9186695320493,29836639.72611506,-90229052.6493,-5885497156.800707,-13596.333369292783,33184669.037113123,659300889100.6609,4620185.663721309,666522621230.5168,25327992.964921713,7296.358167694752,-8599.791834527647,-1378360.5757846995,0.29524397611058406,2817.2096355779836,25508909.63184119,391.9186695320493,25327992.964921713,2150.2990715866786
group_2,ET_3,32873.16179132106,-29696.172280693274,-6116798.291178754,-923.3543223166295,9081.773085032508,19707005.51761183,-5331.785879479759,18710878.19238638,4647.908169020354,-29696.172280693274,54535.00261530912,5798083.05476881,-7071.517438055395,-19048.95163438351,-88667873.4340136,3602.2599481060665,-87876775.25367181,-8053.275396354697,-6116798.291178754,5798083.05476881,1143586476.9498255,-682.5400078336104,-1795694.0805563421,-3964355151.8270044,900001.0657964257,-3778306145.315789,-884501.190190507,-923.3543223166295,-7071.517438055395,-682.5400078336104,7315.758171024314,2796.1656923354617,-5884.25892942897,4754.7317056861175,-6490.183504221744,-0.19207283587112234,9081.773085032508,-19048.95163438351,-1795694.0805563421,2796.1656923354617,6754.044780853047,33232594.84209005,-1034.1187300827364,32996821.63151802,2801.016167442386,19707005.51761183,-88667873.4340136,-3964355151.8270044,-5884.25892942897,33232594.84209005,418949715064.84015,-16674516.281366602,423416892811.1473,16378435.425187904,-5331.785879479759,3602.2599481060665,900001.0657964257,4754.7317056861175,-1034.1187300827364,-16674516.281366602,4520.358853834621,-16556831.565850422,-1404.9914619615606,18710878.19238638,-87876775.25367181,-3778306145.315789,-6490.183504221744,32996821.63151802,423416892811.1473,-16556831.565850422,428056825837.75385,16262497.967098296,4647.908169020354,-8053.275396354697,-884501.190190507,-0.19207283587112234,2801.016167442386,16378435.425187904,-1404.9914619615606,16262497.967098296,1380.0639814031574
group_3,ET_1,16210.153646128629,-12273.874801773592,1277577.806546436,-1119.8665875894496,-511.7760235119125,-4033009.102479557,5088.8783080750345,-3787446.209498303,-1055.3209606087603,-12273.874801773592,15289.26248310283,-1218610.8686017366,-1247.078214152096,-3944.8215765422024,7053818.3239171505,-4189.162942130268,6830793.700035665,1163.9424790285068,1277577.806546436,-1218610.8686017366,111229306.78803352,77.40678868836156,141214.9490937455,-468369597.23980176,411938.9491696701,-447337593.7683528,-97769.65404526539,-1119.8665875894496,-1247.078214152096,77.40678868836156,852.1346165487075,1548.859272261471,-569.2523559385266,-487.1399658104512,-628.8839597573044,-0.0002488063362204593,-511.7760235119125,-3944.8215765422024,141214.9490937455,1548.859272261471,3146.5193552533005,-2765333.7895618,83.52494426662038,-2746184.6890642364,-230.63374916138866,-4033009.102479557,7053818.3239171505,-468369597.23980176,-569.2523559385266,-2765333.7895618,50379438346.42634,-8138935.1454926245,50925891401.48732,1951905.9640736885,5088.8783080750345,-4189.162942130268,411938.9491696701,-487.1399658104512,83.52494426662038,-8138935.1454926245,3114.9884809606224,-8083877.068321932,-675.0886911115747,-3787446.209498303,6830793.700035665,-447337593.7683528,-628.8839597573044,-2746184.6890642364,50925891401.48732,-8083877.068321932,51492913059.069725,1939218.8399941972,-1055.3209606087603,1163.9424790285068,-97769.65404526539,-0.0002488063362204593,-230.63374916138866,1951905.9640736885,-675.0886911115747,1939218.8399941972,160.68547373407165
