group,kl_12,kl_13,kl_23
group_0,646134.173854989,647543.3764225363,1497145.013238226
group_1,824288.8794453584,824273.9577198388,566581.9947571312
group_2,nan,nan,nan
group_3,29304.431788383616,1.6326941376209118e+16,1.8544029718216062e+21
group_4,53773.600503796464,53759.02639032161,3815878.575198881
group_5,21342815.595061045,21343450.887153924,71832.03499422023
group_6,nan,40892.72672653434,nan
group_7,4600825.481149965,nan,nan
group_8,69449.02765665155,69450.86641410722,55659.12249137921
group_9,5799028.361532593,nan,nan
group_10,152197.48801907015,4.184583271449274e+16,1.3907590629806734e+17
group_11,nan,nan,nan
group_12,nan,2846945564194438.5,nan
group_13,nan,23905.378962122624,nan
group_14,300875.5903713297,1.7908376393807136e+16,1.090446639379633e+18
group_15,148640.20736342628,nan,nan
group_16,nan,nan,2.8815439756141946e+20
group_17,51838400710282.92,nan,nan
group_18,4054589.8058015667,4054623.498238116,25054763.36721244
group_19,nan,nan,nan
group_20,nan,nan,nan
group_21,5567404.899663946,5567225.5816992,216738.0050043194
group_22,1.1523620636037076e+16,95092.49500149897,540279.9315108357
group_23,nan,nan,2.972651055454029e+21
group_24,751434.7557133429,751326.5933137492,568341.2792264955
group_25,nan,nan,nan
group_26,265682190.3006643,265631903.11038053,34805.87072037671
group_27,nan,nan,nan
group_28,51701137.37161817,51700903.56106301,10084747.398522126
group_29,5.093007557651562e+18,0,0
group_30,45723.51973542421,45726.11364334847,13021.895394138977
group_31,34988.90230866708,nan,nan
group_32,1.2300928264406502e+18,199834.33739088563,909.1962420849167
group_33,nan,nan,nan
group_34,nan,nan,37006.06962089978
group_35,2722779.4275600347,2722787.679378901,73291887.7336716
group_36,54783.58323281683,54789.56970273093,54042.256178114854
group_37,621035.4544644703,621042.9905653644,1397744.9204287953
group_38,nan,nan,462413.5854494452
group_39,461723.2424448868,461730.93638385285,59732.34917737162
group_40,nan,nan,nan
group_41,nan,nan,nan
group_42,9585.912712494945,9578.922157681065,1219210.2212880405
group_43,37234.33235778239,37210.6768039751,7534108.927612918
group_44,nan,104712.52712353421,nan
group_45,2117243288748324.5,2684.212633611136,25003.991685122586
group_46,3.724085431067824e+18,2.9381201096672625e+18,1152309193880468.0
group_47,3148821.262510457,nan,nan
group_48,nan,nan,621336.1606230306
group_49,nan,nan,nan
group_50,nan,18980.89054068164,nan
group_51,nan,1500328.3163647023,nan
group_52,nan,nan,nan
group_53,3.779766579303935e+18,4.0503967180726554e+20,1.4428678519600467e+17
group_54,618838.9973715931,618840.4025028098,113110.52026604157
group_55,nan,3.3022656376570527e+21,nan
group_56,15756450.466678886,4.061851911129537e+21,2.5380072855605264e+20
group_57,173636.56531744378,173616.87731667553,10527648.552159494
group_58,1487226.8085634655,1487212.1741281925,622340.206108367
group_59,4519497.276809048,4519335.300701401,1628412.7845149324
group_60,80739.11963021217,80719.1502204978,51319173.85750582
group_61,19332.67670550465,19327.997835781676,356677.6656273897
group_62,nan,38690.38298625204,nan
group_63,520864.3328301887,nan,nan
group_64,nan,nan,nan
group_65,nan,nan,nan
group_66,nan,nan,nan
group_67,nan,1002032.7196047213,nan
group_68,nan,nan,nan
group_69,nan,nan,nan
group_70,10926474693967.754,14949.893944381192,61557.26198195475
group_71,18752457.075375076,18752385.077612214,7418685.123399146
group_72,nan,nan,1597587628283799.2
group_73,508942.2489024505,1.8529615876193415e+21,9.906587941395556e+19
group_74,21588955.231841154,21588885.975048594,245018.93376137855
group_75,nan,34199.346020947545,nan
group_76,nan,nan,nan
group_77,259357.9942310336,2.6692851267557645e+20,8.667527637370164e+20
group_78,nan,nan,1073398788651.5586
group_79,15377.255882278958,15380.939284375547,6338.526291110411
group_80,nan,nan,25132.784283235575
group_81,nan,nan,nan
group_82,681213.8266180202,681338.7066995056,205156.0534082867
group_83,83629324.16723767,0,0
group_84,1.4799350985229376e+18,nan,nan
group_85,nan,nan,528017841213859.1
group_86,nan,nan,138611.28140607904
group_87,nan,nan,618240485754823.6
group_88,nan,nan,nan
group_89,120100.05085452099,nan,nan
group_90,nan,nan,nan
group_91,56161990.20364902,56161807.7083595,293088.55954903323
group_92,nan,192620.5235525976,nan
group_93,nan,nan,nan
group_94,57257.399017451586,nan,nan
group_95,nan,nan,nan
group_96,1338360.8822185895,1338433.7625513785,95761267.26732698
group_97,2.3675428220489003e+21,8.037515438595999e+21,7986228827805476.0
group_98,2.0658989945163874e+19,70178.70389244272,12135.690184084187
group_99,263926.1131592255,263804.0290411857,649545190.7041229
group_100,nan,3.5748871335451387e+18,nan
group_101,595019364.8920962,595031908.6569276,51046407.98615159
group_102,nan,nan,258883.24695416534
group_103,397037.49911493127,397032.36580451496,18286089.632517785
group_104,nan,nan,nan
group_105,127875029.24370891,127874801.97244881,1505214.7175133233
group_106,140187.8948438562,140185.05683281447,65701.7915184266
group_107,nan,nan,nan
group_108,nan,nan,2.829563481716442e+16
group_109,nan,nan,nan
group_110,nan,2.2131976497154886e+21,nan
group_111,192473.18835082906,nan,nan
group_112,nan,441339386.9150197,nan
group_113,nan,nan,nan
group_114,nan,nan,nan
group_115,nan,nan,nan
group_116,2470846.729814532,2470923.102747423,1375715.0380848811
group_117,nan,nan,nan
group_118,nan,nan,nan
group_119,1.3290143922126656e+16,181788747443459.75,3.673375890549408e+16
group_120,44264843541169.25,44001.93667925536,25677.610779100047
group_121,nan,nan,5588.491012715561
group_122,5523.279329703271,5529.252308868618,1809.868153443791
group_123,nan,nan,nan
group_124,nan,nan,nan
group_125,nan,15631.963958134862,nan
group_126,33131.698565137835,33063.04794990467,23855079.864555612
group_127,1703086.989092546,1703102.3524194495,18358366.881158933
group_128,3858.5485067612262,3858.310566388062,25899.661220366797
group_129,244706.99933767208,244717.25227978462,343879.24988005136
group_130,nan,nan,28616.975031955913
group_131,nan,nan,nan
group_132,nan,56830038.54952329,nan
group_133,3608711561892318.0,nan,nan
group_134,374750.5017627053,374796.45809428516,32132.791917175273
group_135,626930.3387704456,626643.218229962,121224.24014322524
group_136,nan,nan,nan
group_137,nan,nan,nan
group_138,139072.8611413575,25965927702946.406,2.0630476307745856e+20
group_139,9.148361405661432e+16,69545.62280601868,11404.371390613336
group_140,nan,nan,nan
group_141,nan,nan,nan
group_142,7386.785262527719,7391.594199988778,19078.26500689811
group_143,266865.4834046075,266875.9155514873,8008276.978646628
group_144,5.005710571216062e+17,273034.8334412396,66915.47714143526
group_145,nan,20709.240791605414,nan
group_146,2566.5136651147427,2570.4111012067297,1376.055482637253
group_147,645.9274315424566,645.5209413351344,136533.33345339692
group_148,3.3875614114672794e+18,130158.33994289572,31266.170590901922
group_149,nan,582790.9664411971,nan
group_150,nan,90167.63336534186,nan
group_151,nan,nan,nan
group_152,nan,nan,64978090.50800907
group_153,nan,nan,608106.5519025903
group_154,17905.247594641696,17810.413065089302,140191472.31571135
group_155,nan,nan,nan
group_156,71876.04573358443,71882.34542119999,8560.963199551124
group_157,1097971.7699416464,1097972.6384713084,96958.8485180046
group_158,11615923.514853878,nan,nan
group_159,nan,2878918878597.342,nan
group_160,nan,nan,nan
group_161,79667.41598350651,79755.8962340678,13942396.308788937
group_162,nan,nan,52951.63056243802
group_163,46490.274405946235,nan,nan
group_164,217951.5889533491,217950.56113984747,2500959.032743732
group_165,nan,nan,17437933.063114062
group_166,nan,nan,nan
group_167,nan,nan,nan
group_168,nan,nan,nan
group_169,nan,2858265.928650501,nan
group_170,1030706.8164463644,1030683.2149373977,20604737.787388567
group_171,1098283.5415196144,2.840146306432076e+19,1.063102693075693e+19
group_172,248694216102.84763,4267673349125.251,48633231272435.75
group_173,nan,nan,nan
group_174,30310736.808198594,nan,nan
group_175,2.1081441681095265e+18,69058524.46114841,391264.376058524
group_176,17186.230522206868,17181.147431627724,35525.29013120103
group_177,1.1722549812256662e+20,248405514.09874254,1750784.6231563194
group_178,195865.06022259124,nan,nan
group_179,3654534.055835739,3654580.493381734,183858.31206452294
group_180,nan,nan,nan
group_181,9.98553757797064e+18,4.032426846011295e+19,9397998796787.645
group_182,2.8575345597407906e+21,1.1612407691520158e+22,1159784014165058.0
group_183,nan,nan,nan
group_184,43853352.79763924,43854116.6668185,2351753.255379292
group_185,nan,nan,6.247955416699021e+17
group_186,2.4126543819460375e+19,27164.653791350232,107.90012748617224
group_187,63764.89441553128,nan,nan
group_188,35999.78177900163,nan,nan
group_189,nan,nan,nan
group_190,7495.936525845777,nan,nan
group_191,57372.935579648285,57586.698389737234,2160697.686442276
group_192,11802771.16269001,11803710.094029292,33556.60521067114
group_193,nan,166507014.03325891,nan
group_194,2.9734552470381616e+16,nan,nan
group_195,107916.80357485663,2.528878388892018e+16,1.0923274558380818e+16
group_196,2.2478682069205207e+18,nan,nan
group_197,nan,nan,nan
group_198,nan,nan,nan
group_199,nan,nan,nan
